dateRep,cases,countriesAndTerritories,cNum
19/06/2020,2,Georgia,2.35190387
20/06/2020,1,Georgia,2.2768431
21/06/2020,2,Georgia,2.25182285
22/06/2020,10,Georgia,2.50202539
23/06/2020,3,Georgia,2.47700514
24/06/2020,3,Georgia,2.40194437
25/06/2020,3,Georgia,2.25182285
26/06/2020,2,Georgia,2.20178234
27/06/2020,2,Georgia,1.9515798
28/06/2020,3,Georgia,1.82647853
29/06/2020,2,Georgia,1.17595193
30/06/2020,2,Georgia,1.22599244
1/7/2020,0,Georgia,1.00081016
2/7/2020,3,Georgia,0.95076965
3/7/2020,8,Georgia,1.10089117
4/7/2020,7,Georgia,1.25101269
5/7/2020,2,Georgia,1.25101269
6/7/2020,5,Georgia,1.12591143
7/7/2020,5,Georgia,1.17595193
8/7/2020,5,Georgia,1.22599244
9/7/2020,5,Georgia,1.27603295
10/7/2020,5,Georgia,1.35109371
11/7/2020,8,Georgia,1.50121523
12/7/2020,5,Georgia,1.55125574
13/07/2020,9,Georgia,1.72639752
14/07/2020,4,Georgia,1.77643803
15/07/2020,4,Georgia,1.87651904
16/07/2020,3,Georgia,1.87651904
17/07/2020,0,Georgia,1.67635701
18/07/2020,12,Georgia,1.80145828
19/07/2020,10,Georgia,2.00162031
20/07/2020,0,Georgia,1.87651904
21/07/2020,11,Georgia,2.02664057
22/07/2020,10,Georgia,2.15174184
23/07/2020,24,Georgia,2.62712666
24/07/2020,31,Georgia,3.27765326
25/07/2020,13,Georgia,3.40275453
26/07/2020,14,Georgia,3.62793681
27/07/2020,6,Georgia,3.55287605
28/07/2020,8,Georgia,3.65295707
29/07/2020,10,Georgia,3.80307859
30/07/2020,0,Georgia,3.72801783
31/07/2020,5,Georgia,3.8531191
1/8/2020,8,Georgia,3.75303808
2/8/2020,3,Georgia,3.57789631
3/8/2020,6,Georgia,3.72801783
4/8/2020,5,Georgia,3.57789631
5/8/2020,15,Georgia,3.70299758
6/8/2020,9,Georgia,3.32769377
7/8/2020,0,Georgia,2.5520659
8/8/2020,7,Georgia,2.40194437
9/8/2020,12,Georgia,2.35190387
10/8/2020,25,Georgia,2.82728869
11/8/2020,14,Georgia,2.97741021
12/8/2020,14,Georgia,3.07749123
13/08/2020,5,Georgia,3.2025925
14/08/2020,23,Georgia,3.65295707
15/08/2020,0,Georgia,3.45279504
16/08/2020,15,Georgia,3.75303808
17/08/2020,20,Georgia,4.10332164
18/08/2020,10,Georgia,4.22842291
19/08/2020,10,Georgia,4.10332164
20/08/2020,0,Georgia,3.87813935
21/08/2020,9,Georgia,4.10332164
22/08/2020,15,Georgia,4.30348367
23/08/2020,9,Georgia,4.22842291
24/08/2020,17,Georgia,4.02826088
25/08/2020,10,Georgia,3.92817986
26/08/2020,15,Georgia,3.95320012
27/08/2020,11,Georgia,4.10332164
28/08/2020,8,Georgia,3.72801783
